# English Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
a	list,new,sentence,given,great
storytelling	and,to,is,can,in
stove	and,refrigerator,over,portable,heat
stoves	and,ovens,microwaves
stovetop	and,regularly,over,cooker,or
str	string,in,not,add,fibonacci
straight	to,from,line,lines,and
straightened	out
straightforward	and,to,process,language,poem
strain	on,and,of,is,in
strained	relationships,with,vision,by,as
strainer	to,tongs
straining	the,his,their
strains	of,and,were,in,appear
strait	of,the,which,contrast,connecting
straits	of
strand	of,consists,with,acts,is
stranded	on,in,astronauts,during,and
strands	of,that,are,and,linked
strange	and,creatures,things,to,that
strangely	enough,comforted,inviting,alive,connected
stranger	in,to,than,things,was
stranger's	voice,outfit,face,performance,lead
strangers	and,in,to,who,online
strangest	thing,sight
strap	on,and,for,with,to
strapped	to,in
straps	and,attach,are,around,this
strata	of,have
strategic	planning,and,plan,partnerships,thinking
strategically	placed,located,and,move,scheduling
strategies	for,to,and,that,in
strategist	taking,ux,and
strategize	for,and
strategizing	and,when,before,also
strategy	for,to,and,is,that
stratford	upon
strathfield	in,and
stratification	and,with
stratified	sampling,and,graphs
stratosphere	and,the,is,contains,mesosphere
stratus	clouds,and,cumulus,cirrus
strauss	in,charles
straw	and,sticks,to,that,hat
strawberries	and,blueberries,cup,oranges,peaches
strawberry	smoothie,banana,apple,and,potato
straws	are,and,should,we,have
stray	from,dog,incidents,too,cat
straying	too,away
streak	of,to,in,through,along
streaked	with,away
streaking	across
streaks	of,across,and
stream	of,resource,and,in,is
streamed	in,through
streamers	from,and,balloons,with,represent
streamflow	statistics
streaming	services,video,media,and,audio
streamline	the,and,your,processes,their
streamlined	and,user,body,while,processes
streamlines	the,processes
streamlining	the,processes,workflow,of,some
streams	and,of,that,in,are
streep	has,and,brings
street	and,in,is,address,to
streetlights	illuminated,healthcare,that,seemed,seeming
streets	of,and,in,were,are
strength	and,of,training,to,in
strengthen	the,your,their,our,and
strengthened	by,the,and,immune,as
strengthening	the,of,and,communication,skeletal
strengthens	the,your,muscles,teamwork,visual
strengths	and,of,in,are,weaknesses
strenuous	demanding,allocate,adjective,effort,physical
strep	throat
strept	throat
streptococcus	pneumoniae,pyogenes
stress	and,levels,in,can,management
stressed	out,and,the,that,syllable
stresses	the,of,that,and,in
stressful	and,situations,as,experience,or
stressing	the,that
stressors	and,in,whenever,reducing,let
stretch	of,and,your,for,out
stretched	out,to,and,her,for
stretches	of,from,out,to,over
stretching	out,and,from,the,for
streusel	pie,topping
strewn	with,across,like,around
stricken	that,with
strict	and,rules,liability,quality,regulations
stricter	regulations,emissions,emission,tax,gun
strictly	speaking,prohibited,for,forbidden,confidential
stride	of,length,forward,the,pride
strides	in,towards,as,swift,have
striding	through,quickly,flowing,towards
strife	and,it,fear,promote,i
strike	the,a,out,at,in
strikes	the,and,me,a,again
striking	a,the,out,and,thirteen
string	of,is,to,and,value
stringed	musical,instruments
stringent	than,requirements,regulations,and,immigration
strings	and,are,of,that,in
strip	and,poker,of,to,blackjack
stripe	card,that
striped	bass,shirt,dress,tie,hat
stripes	and,on,or,of,running
stripped	of,down,from,away,the
stripping	and,down
strips	and,of,for,to,bacon
strive	to,for,towards,and,harder
strived	to,for
strives	to,for,they
striving	to,for,towards,despite,ambition
strix	scar
strode	down,along,through,home,across
stroke	and,of,or,in,is
strokes	and,of,per,with,are
stroll	through,along,to,in,down
strolled	through,along,jauntily,in,down
strolling	through,along,on,down,in
strolls	in,with
strong	and,sense,relationships,winds,work
stronger	and,than,the,in,relationships
strongest	and,in,of,skills,to
stronghold	of,which,and
strongly	agree,disagree,believe,influenced,recommend
strove	to
struck	by,out,with,down,the
struct	inode,file,sockaddr,page,node
structural	and,changes,integrity,elements,adjustment
structurally	stabilizes,the
structure	of,and,for,in,to
structured	and,data,in,as,approach
structures	and,of,in,are,that
structuring	of,the,and,exercise
struggle	to,for,with,against,between
struggled	to,with,for,as
struggles	to,of,and,with,for
struggling	to,with,in,for,and
strum	all,of
strumming	away,of
strums	a,with
strung	together
struthio	camelus
stuart	russell,rothenberg,j,mcclure,little
stubborn	boy,to,stains,stain,dirt
stubbornness	and,or
stubby	tail
stucco	relief,depending
stuck	in,on,with,to,at
stud	poker,earrings
studded	with,body
student	who,in,and,at,loans
student's	performance,learning,needs,understanding,knowledge
students	to,with,and,can,in
studi	di
studied	the,and,in,at,by
studies	have,and,in,of,show
studio	and,is,in,for,apartment
studios	and,in,to,were,theme
studious	with,and
study	of,the,and,for,on
studying	the,for,in,at,and
stuff	for,and,on,to,that
stuffed	animals,with,animal,her,mushrooms
stuffing	mashed,and,winter,the,for
stuffy	nose,with
stumble	upon,and,near,i'm,but
stumbled	upon,across,on,into,and
stumbles	across,onto
stumbleupon	toolbar
stumbling	block,upon,on,sea
stump	the
stunned	by,and,speechless,silence,to
stunning	and,views,visuals,view,beaches
stunningly	intricate,beautiful
stunted	as,growth
stunts	with,in,did,were,to
stupid	and,to,question,people,things
stupidity	of
sturdier	body,build
sturdy	and,oak,tree,powerful,surface
stuttering	or,also,is,can
style	of,and,guide,in,by
styled	in,with
styles	of,and,to,that,from
stylesheet	for,to
styling	and,of,with,language,to
stylish	and,design,magnetic,shopping,look
stylistic	device,errors,elements,differences
stylized	representation,image,coffee,sun,letter
stylus	so,or
su	hotel,costa,antiguo,madre
sub	navigation,categories,menu,array,topic
subarray	sum,is,and,of,between
subatomic	level,particles,particle
subcategories	if,for,based,to,within
subclass	of,is
subclasses	of,range,to
subcommittee	of,on,actions
subconscious	mind,reflecting,cobb
subdirectory	of
subdivided	into
subdivision	of,or,and,to
subdivisions	of,are
subdomain	is,name,domain
subdued	and,lighting,tone,preferring,when
subfield	of
subgroup	of
subgroups	of,within
subheadings	that,within,writing,quotes
subject	to,of,and,line,matter
subject's	right,reaction
subjected	to,someone
subjecting	animals,them
subjective	and,opinion,writing,values,universe
subjects	were,in,and,of,with
subjunctive	mood,phrase
sublet	free
sublimation	is,and,requires
sublime	directory,pichunter,sublimedirectory,thumbzilla,worldsex
sublimedirectory	sublime,pichunter,thehun,thumbzilla,worldsex
submarine	warfare,and,is,cables,sinkhole
submarines	and,are,unmanned
submerge	the,yourself,it
submerged	in,settlements
submission	of,to,and,is,form
submissions	to,and,are,for,from
submit	the,a,your,an,button
submits	a,that,the,to
submittal	of
submitted	by,to,on,for,in
submitting	a,an,the,your,it
subnet	mask,masks
subordinate	to,clause,clauses,subjects,role
subordinated	to,at
subordinating	clause,conjunction,conjunctions,conjuction,or
subprime	mortgage,lending,loans
subproblems	and,thereby,of
subscribe	to,now,for,or,and
subscribed	to,and
subscriber	to,and,base,services,identity
subscribers	to,and,only,in,list
subscribes	to
subscribing	to,members,you
subscription	to,information,service,services,and
subscriptions	and,to,are,store,for
subsection	shall,is
subsections	rehashing,using
subsequence	of,between,sum,is,in
subsequent	to,years,year,visits,generations
subsequently	be,the,salivate,suggests,test
subservient	to
subset	of,whose,contains,is,a
subsets	of,based,and,where,or
subsidiaries	and,of,in,or,are
subsidiary	of,companies,in
subsidies	and,to,for,are,on
subsidize	the,public,businesses,essential
subsidized	by
subsidy	for,to
subsist	almost,on
subsistence	agriculture,helping,farming
subspace	of
subspecies	and,of
substance	abuse,that,use,is,in
substances	and,that,in,are,such
substantial	amount,increase,number,and,evidence
substantially	in,higher,the,all,more
substantiate	the
substantiated	by
substantive	and,laws,law
substitutable	technology
substitute	for,the,a,this,x
substituted	for,by,with
substitutes	for,have,such,and,like
substituting	the,b,traditional,in,chicken
substitution	of,for,in,cipher,can
substitutions	and,could
substrate	is,and,for,from,can
substrates	to,of,and,are
substring	of,in,that,from,without
substrings	in,containing,within
subtasks	and,necessary,involved,with,simultaneously
subtitle	for,based,and
subtitles	for
subtle	and,nuances,patterns,but,differences
subtleties	of
subtlety	of,as
subtly	differentiate,tangy,nutty
subtopics	for,as,that,related
subtotal	of,taxes
subtract	the,from,y,two,x
subtracted	from,by
subtracting	the,from,one,y,x
subtraction	multiplication,and,is,sentence,operation
subtropical	climate,waters,climates,and,humid
subtype	of
subtypes	of
subunit	of,within
subunits	of
suburb	of,or
suburban	areas,roads,neighborhood,area,neighbourhood
suburbs	of,and,differ,there,on
subvert	the
subway	station,system,systems,lines,can
subways	as,for,could,is,and
succeed	in,and,with,at,or
succeeded	by,in,to,and,with
succeeding	in,player,and,layer,elements
succeeds	in,when,and
success	of,in,and,is,with
successes	and,in,of,as,are
successful	in,business,completion,and,online
successfully	complete,completed,transmitted,used,and
succession	of,planning,to,or
successive	generations,layers,key,odd,numbers
successor	to,of,in,is
successors	and
succinct	way,content,without,statement,examples
succinctly	summarizes,compare,outline
succulent	and,fruits,texture,delicious,food
succulents	cacti,and,or,such,herbs
succumb	to
succumbed	to
succumbing	to
succumbs	to
such	as,a,that,an,information
sucht	sexcam
suck	blow,oral,bukkake,cock,cumshot
sucked	into,in,and,out
sucker	for
sucking	cock,and,dick,on,big
sucks	and,cock,son,a,in
suction	cup,cups,power,that,machine
sudan	and,swaziland,ethiopia,yemen,uganda
sudanese	government
sudden	change,and,death,changes,release
suddenly	the,a,became,he,and
sudo	install,update,e,upgrade,autoremove
sudoku	puzzle,board,solving,rules,game
sue	the,for,and,me,smith
sued	for,the,by,in,over
suede	and,gives
sues	another
suez	canal,crisis
suffer	from,the,a,as,in
suffered	a,from,by,the,in
sufferers	of
suffering	from,and,the,is,of
sufferings	of
suffers	from,a
suffice	to,it,for
suffices	to
sufficiency	of
sufficient	to,for,time,evidence,funds
sufficiently	large,high,to,small
suffix	of,break,is,ity,meaning
suffixes	for,and,prefixes,starting
suffrage	granting,protection
sugar	and,levels,is,in,to
sugars	and,until,that,into,which
sugary	drinks,foods,snacks,and,beverages
suggest	a,an,two,three,some
suggested	that,by,the,a,to
suggesting	that,a,the,relevant,improvements
suggestion	for,to,is,on,of
suggestions	for,to,and,on,about
suggestive	of
suggests	that,the,a,an,to
sui	pork
suicide	bombers,and,bomber,bombings,is
suing	the,government
suis	heureux,fatigu,content,tudiant,en
suit	the,your,and,their,or
suitability	for,of,and
suitable	for,to,as,and,word
suitably	qualified
suitcase	with,for,first
suite	of,for,is,and,with
suited	for,to,him,my,the
suites	and,in,by,are,with
suitors	yet,who
suits	your,the,and,you,all
sulfate	and,ion
sulfur	dioxide,in,chlorine,selenium,oxides
sulfuric	acid
sulfurous	acid
sullen	betrayal,attitude
sullivan	and
sulphur	dioxide,in
sultry	summer
sum	of,is,up,and,to
sumatran	tiger,orangutan,elephant,rhinos,tigers
sumerians	believed,invent,invented
summa	cum
summaries	of,and,for,in,or
summarise	the,this,it,in,their
summarised	in,as
summarises	the,this
summarising	the,newton's
summarization	of,and,sentiment,dialogue,text
summarize	the,this,a,it,what
summarized	in,as,below,by,the
summarizer	system,involves,for
summarizes	the,this,its,a
summarizing	the,a,this,your,sentence
summary	of,for,and,in,page
summation	of,for
summative	assessment,sentence,assessments,paragraph
summed	up
summer	day,and,of,is,in
summer's	day,lease,heat,night,something
summers	and,in,are,due,lead
summertime	sports,the,has,fun,sun
summery	of,from,vacations,night
summing	up,the,them
summit	of,in,and,on,for
summon	the,a,powerful,and
summoned	to,the,up,a,there
summoning	congress,of
sumptuous	tones,elegant
sums	of,up,it,the,or
sumter	in,attack
sun	is,was,and,in,to
sun's	rays,energy,light,radiation,heat
sunamganj	near
sunbathe	or,and,build
sunbathing	and,beach
sunbeams	filtering,dancing
sunburns	and
sunburst	in,could
sundae	is,a,in,after,we
sundar	pichai
sunday	morning,afternoon,night,and,at
sundays	and,at
sunflower	seeds,swayed,oil,annuals,with
sunflowers	with,once,ranunculus,are
sung	by,in,melodies,during,a
sunglasses	and,with,sunscreen,beach,can
sunk	in,lower,cost
sunken	treasure
sunlight	and,into,is,to,in
sunlit	meadow,counterparts,landscape,sky
sunny	day,and,days,with,in
sunrays	gently,break,shone
sunrise	and,over,alarm,is,or
suns	and,about
sunscreen	and,hats,sunglasses,before,with
sunset	and,in,was,is,with
sunset's	wings,beauty
sunsets	my,the,glow,it,from
sunshine	and,of,act,in,the
suntan	lotion
sup	how's,doc
super	fast,bowl,mario,low,hero
superb	and,quality,intense,performance,scholar
supercomputer	is,in,can,will,defeats
superconducting	quantum,magnet
superfluous	information,language,to
superfood	is,with,that
superglobal	variable
superhero	movie,and,film,who,was
superhero's	great,heroism
superheroes	and,is,from,billy,in
superhuman	strength,abilities
superimposed	on
superimposes	digital
superintendent	of,director
superior	to,customer,performance,quality,court
superiority	of,in
superiors	and,to,take
superlative	form,forms,rewrite,adjective,degree
superman	qwerty,sets,and,is,batman
supermarket	and,yesterday,market,i,to
supermarkets	and,offer,or,local,airports
supermassive	monsters,black,amount
supernatural	forces,and,creatures,powers,horror
supernova	leaving,explosion
superoxide	dismutase
superposition	of,and,states,allows,can
superpower	would,of,is,my,i
superpowers	to,i,came,and
supersede	the
superseded	by
supersedes	all
superset	of
supersized	image
superstitions	are,from
superstitious	fears,of
superstorm	sandy,caused
supervise	the,and
supervised	learning,machine,and,by,the
supervises	the
supervising	the,volunteers,kitchen,staff
supervision	of,and,for,in,is
supervisor	of,and,or,for,to
supervisors	and,to,with,have,can
supper	time,both,and,as
supple	while,leather
supplement	to,for,the,their,and
supplemental	information,security
supplementary	information,evidence
supplemented	with,by
supplements	and,have,for,to,are
supplied	argument,by,with,in,to
supplier	of,and,to,evaluation,for
suppliers	and,of,in,for,to
supplies	and,for,from,in,at
supply	and,chain,of,chains,for
supplying	the,a,only,power,over
support	and,the,for,of,to
supported	by,in,and,the,on
supporter	of,is,and
supporters	of,and,in,to,are
supporting	the,a,evidence,and,documents
supportive	and,environment,of,services,work
supports	the,up,a,multiple,and
suppose	you,that,the,we,a
supposed	to,that,death,straight
supposing	that
suppress	the,insurrections
suppressed	by,communication
suppresses	the,it
suppressing	the,star
suppression	of,and,that,systems,from
supra	note
supremacy	of,has,that
supreme	court,being,law,court's,power
sur	les,le,la,un,cet
surcharge	on,to
surcharges	can,on
sure	to,that,you,the,it
surely	the,it,you,be,a
surety	bond
surf	the,and,is,beach,connect
surface	area,and,of,water,temperature
surfaced	in
surfaces	and,of,with,are,that
surfer	and,was
surfing	the,and,our,in,lesson
surge	in,of,protection,protector,nausea
surged	through,away,from
surgeon	in,and,who,has,plumber
surgeons	in,of,and,to,perform
surgeries	as,can,and,being,providing
surgery	and,for,in,at,of
surges	wild,and,or,which
surgical	procedures,procedure,and,treatment,intervention
surging	unemployment,tide,through
suriname	uruguay,eswatini,and
suriya	is
surjective	or,so
surname	in,and
surpass	the,them,million,human
surpassed	the,his
surpassing	even,expectations,what,linear,previous
surplus	of,and,in,to,food
surprise	the,that,and,to,for
surprised	to,by,when,at,that
